H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn
1.000000000000000000e+00 3.299717056877929933e-01 1.182804756637907027e-09 7.014902652326916694e-21 4.057829978882436781e-11 7.608142067761613624e-04 1.539916176863455365e-04 1.910492372305912408e-03 4.032593988783364784e-08 2.170989985421090660e-04 3.851848025685926593e-06 1.071717727653582081e-04 3.641105011484362482e-06 3.202817735631320129e-04 4.249034701678581690e-06 1.936310459745977893e-04 3.196532565732659449e-06 3.507245728055354375e-05 1.075189409713428437e-06 2.204827683832702537e-05 8.479077537116083027e-09 1.299266270351439299e-06 1.316795599684047882e-07 1.566874114517808283e-05 4.146790856285144025e-06 6.266698283408804254e-04 4.141407555005997254e-06 8.161586175224096055e-05 3.754187309314520176e-07 1.204729056861391458e-06
1.000000000000000000e+00 3.313187518403625242e-01 1.204890885460321953e-09 5.772574625026393271e-21 5.229821976299342853e-11 8.398514342076047329e-04 1.754149403177163353e-04 2.084145248702148207e-03 4.560597454976060322e-08 2.496860515658576437e-04 4.557022029707385087e-06 1.189721588034977891e-04 4.265582141842990683e-06 3.498360111542210093e-04 5.034313137051539338e-06 2.136062916753646615e-04 3.785865203249666053e-06 3.862117466503094842e-05 1.222056807107600326e-06 2.397770534149700907e-05 9.395071255447097956e-09 1.409757755467955635e-06 1.461682899813990064e-07 1.907072733301842736e-05 4.578174987880490389e-06 6.849471540663490746e-04 4.491416011365889913e-06 8.816166705781863463e-05 4.077248804008078590e-07 1.272826486553929539e-06
1.000000000000000000e+00 3.321318848208619223e-01 1.224296703206261018e-09 1.012368455545655981e-20 6.481243099600183028e-11 8.917829853768375606e-04 1.940047247813857137e-04 2.180679560582991089e-03 5.006775198532181479e-08 2.767726209984794719e-04 5.197591416296984361e-06 1.269574087973866186e-04 4.830856812681378102e-06 3.652468147703128560e-04 5.737973751364970532e-06 2.253238388485701797e-04 4.328311801557210095e-06 4.066843339559845952e-05 1.342058122690710004e-06 2.487617810844863412e-05 1.009647517156422300e-08 1.458282087525287700e-06 1.564488042582859193e-07 2.219061364661529864e-05 4.911930394829837614e-06 7.231707273851622781e-04 4.663834898065324339e-06 9.053579462283221490e-05 4.209843543093253878e-07 1.252601941268390893e-06
1.000000000000000000e+00 3.312986751337259617e-01 1.203753908462858488e-09 8.092812021900611104e-21 5.156897569656610447e-11 8.383074439108605938e-04 1.746128144857923294e-04 2.082080796620431988e-03 4.543408498759823893e-08 2.483408696067325948e-04 4.521669651791986361e-06 1.186808791790609422e-04 4.236554688524912432e-06 3.493806454453104180e-04 4.993820837136050046e-06 2.131442028097805164e-04 3.755135944184560219e-06 3.854819719818680705e-05 1.216062177042906885e-06 2.395932979017546981e-05 9.366712880785014479e-09 1.408565294437992103e-06 1.457782535016877031e-07 1.887409380286477026e-05 4.570427320968347021e-06 6.842386912066954945e-04 4.487882425532448231e-06 8.813080134233034022e-05 4.072684597010785181e-07 1.274244222393117225e-06
1.000000000000000000e+00 3.301752490063792345e-01 1.187495145920764381e-09 1.175915625392974183e-20 3.929930523302454835e-11 7.690613939974664083e-04 1.524325003626467493e-04 1.944372979269167259e-03 3.996057596539382056e-08 2.178299372388421500e-04 3.827046605436995654e-06 1.085810298496510401e-04 3.608211717609449175e-06 3.279429977806439271e-04 4.229899210998295493e-06 1.981049816590592697e-04 3.158166615684188553e-06 3.580745285601175500e-05 1.073669932233175858e-06 2.261358025238251811e-05 8.459171043547773449e-09 1.333554587012501296e-06 1.321150851524791450e-07 1.579993322007423135e-05 4.117442572921763715e-06 6.287862220992718014e-04 4.204433562332362513e-06 8.441579770158794160e-05 3.886899259828010138e-07 1.292982206395580675e-06
1.000000000000000000e+00 3.296107146445292346e-01 1.179396589204491502e-09 1.130175644101196197e-20 3.523078965188759321e-11 7.363431913742983330e-04 1.438740872873646448e-04 1.871470263909353433e-03 3.783439371734789115e-08 2.053343630448171324e-04 3.566010376370693151e-06 1.038059460440350889e-04 3.371972635926210213e-06 3.162549160065682564e-04 3.941823117102000554e-06 1.904754046515201452e-04 2.941814152664062425e-06 3.443243810731251819e-05 1.018616905680508064e-06 2.185519165306182206e-05 8.108504900582539651e-09 1.290297719127331966e-06 1.263023575181707243e-07 1.462057938063190648e-05 3.935439300393740184e-06 6.043229630394731646e-04 4.061037464241642525e-06 8.184843704607248872e-05 3.767128804826402811e-07 1.272446656566115670e-06
1.000000000000000000e+00 3.285983995329100904e-01 1.165622344090879865e-09 1.024648993760115427e-20 2.959577964222790622e-11 6.790742950716206717e-04 1.309326657174571251e-04 1.737033436997131430e-03 3.458419886983313274e-08 1.851030876770795380e-04 3.166404847079877944e-06 9.537596118626797586e-05 3.009670953221356966e-06 2.939624895187894788e-04 3.498456269127597169e-06 1.763285203383470996e-04 2.620856827175995191e-06 3.188483207012910109e-05 9.337955423635335035e-07 2.037078838157080783e-05 7.596789958052796999e-09 1.204463541004885958e-06 1.166542376835457082e-07 1.277386948588604554e-05 3.655539341263425838e-06 5.634906437550494173e-04 3.791996278088600618e-06 7.650361651221562352e-05 3.524302369166412636e-07 1.208794438352136284e-06
1.000000000000000000e+00 3.307907546446291480e-01 1.198793327454090172e-09 9.130151224875826800e-21 5.070189207105757091e-11 8.112793800450640320e-04 1.706048852880387402e-04 2.010854625604797420e-03 4.426679130255589205e-08 2.414576687724645607e-04 4.413413493671538405e-06 1.149036642342848922e-04 4.137174815452507636e-06 3.364208978367199906e-04 4.870601076104598077e-06 2.052518442784551892e-04 3.668794231417478254e-06 3.714533159636077312e-05 1.182377356418556164e-06 2.302936806941645667e-05 9.103657303109067460e-09 1.354179471763475748e-06 1.414932356190584109e-07 1.831810783940864020e-05 4.441350367687685301e-06 6.624689392018697463e-04 4.330589685043316680e-06 8.450684936622080974e-05 3.906247080307052803e-07 1.204675532529366002e-06
1.000000000000000000e+00 3.422193141425760587e-01 1.301396878396443000e-09 8.775085700145754113e-21 1.942819040767922563e-10 1.499199880172081591e-03 3.883145734674983782e-04 3.512482003787206590e-03 1.001730982744099597e-07 5.349810984364973630e-04 1.108616045752066170e-05 2.237162359016326438e-04 1.046480260440842391e-05 5.806768919888998653e-04 1.186437261575635017e-05 3.717101769375003809e-04 9.073480538428436838e-06 6.696905020138515163e-05 2.518945392674760899e-06 3.878216136307927975e-05 1.959760808222365075e-08 2.233865751702031359e-06 2.360867676103240482e-07 3.147552037016813816e-05 8.184186113130696602e-06 1.153207644535044320e-03 7.066057136050681725e-06 1.362087677068805642e-04 6.972523663893842021e-07 1.669919953393263582e-06
1.000000000000000000e+00 3.238881701841189176e-01 1.122640990260590253e-09 1.110407828849811931e-20 9.025952725294237882e-12 4.170476129978550927e-04 6.644383087690610974e-05 1.123591155831072178e-03 1.854458018471646521e-08 1.002375963754613126e-04 1.508268367577286568e-06 5.856032645156086054e-05 1.447798055791077494e-06 2.018241968193152920e-04 1.675515677551849694e-06 1.205622431929436768e-04 1.217880920982767912e-06 2.171612306572298374e-05 5.379292628876323181e-07 1.458515486118246633e-05 4.771794141585252308e-09 8.558468883628174222e-07 6.957328485936175820e-08 6.439905790010283821e-06 2.138113193540620699e-06 3.548999564834554726e-04 2.531646687316850132e-06 5.679999423445454077e-05 2.637964500394080554e-07 1.134925198142826547e-06
